food_id,food_name,food_category,food_description,veg_non,diet,price,height,weight,disease,diet_plan,diet_goal
208,green cucumber shots,rice,"english cucumbers, garlic cloves (smashed), romaine lettuce, basil, parsley, cilantro, big lemon, sea salt, olive oil",Veg, alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet dash_diet,225,70.66364846,89.73222001,Hypertension,Keto,cure disease
209,thai pineapple rice,rice,"rice, onion, thai ginger , fresh turmeric, curry leaf, lemon grass, coconut milk, salt, hot curry powder, pineapple chunks, oil, water, turmeric powder, fresh pineapple",Veg, high_protien_diet vegan_diet dash_diet ketogenic_diet,520,77.68234378,89.91904937,Diabetes,Vegan,weight gain
210,green asparagus risotto,rice,"carnaroli rice, vegetable broth, butter, extra virgin olive oil, parmigiano cheese, onion (minced), white wine, salt & pepper",Veg, alkaline_diet dash_diet high_fiber_diet hormone_diet,400,69.28678291,56.17017732,Asthma,Non-Veg,weight gain
211,goan prawn curry &amp; baked rice canapes,rice,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite",Veg, low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet,300,60.86349098,68.89305455,Asthma,Low carbs,weight loss
212,veg fried rice,rice,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",Veg, alkaline_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet,280,75.51542075,69.81937317,None,Low carbs,cure disease
213,egg and garlic fried rice,rice,"oil, garlic, spring onion , ginger, red chilli , egg, cooked rice, salt, black pepper powder, soya sauce",Non-Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet hormone_diet high_protien_diet dash_diet type_a_diet,365,71.53119843,87.76158145,Asthma,Dairy-Free,cure disease
214,curd rice,rice,"rice, water, curd, milk, carrot, green chilli, ginger, salt, coriander leaves, oil, mustard seeds, chana dal, urad dal, curry leaves, red chilli, hing",Veg, low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet,460,70.23691752,81.88199669,None,Veg,cure disease
215,fried rice with soya chunks,rice,"basmati rice, carrot, capsicum, beans, green peas, ginger, garlic, green chillies, bay leaf, cinnamon sticks, green cardamoms, clove, soya chunks, salt,",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet dash_diet,455,60.71329839,70.1820816,Diabetes,Veg,maintain body
216,cauliflower and chicken biryani,rice,"boneless chicken, biryani masala, yogurt, onions, coconut oil, cauliflower, coconut (diced), onion (diced), peppercorns, cardamoms, cumin seeds, bay leaves, cinnamon, cloves, coconut oil, garam masala, dry chilli flakes, turmeric powder, black peppercorns, cardamom, cinnamon, garlic (crushed), tomato puree, green chillies, fresh ginger (peeled), dry red chilli, salt",Non-Veg, low_fat_diet low_carb_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet type_a_diet,610,76.34951114,58.42717426,Diabetes,Veg,maintain body
217,chicken quinoa biryani,rice,"onions, tomato, green chillies(slit open), ginger garlic paste, mint leaves, coriander leaves/cilantro, fresh yogurt/curd(beaten), turmeric powder, chilli powder, salt, chicken (cut into pieces), garam masala powder, ginger garlic paste, yogurt/curd,  chilli powder, coriander powder, salt, oil, cloves, bay leaf , cardamom",Non-Veg, low_fat_diet low_carb_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet type_a_diet,225,68.09449783,71.8543783,Asthma,Low carbs,weight gain
218,corn pulao,rice,"basmati rice, american corn kernels, olive oil, onion, ginger garlic paste, salt, green chillies, cumin seed, bay leaf, pepper corn, cloves, hot water, coriander leaves, lime juice, bell pepper (sautéed and diced), coconut",Veg, low_fat_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,500,77.58894311,96.8622219,Hypertension,Veg,weight loss
219,zucchini methi pulao,rice,"zucchini, basmati rice, fenugreek (methi), clarified butter (desi ghee), clarified butter (desi ghee), cumin seeds (jeera), asafoetida (heeng), green chilles, ginger, salt",Veg, ketogenic_diet,485,69.91333673,89.25542376,Hypertension,Gluten-Free,weight gain
220,lemon rice,rice,"cooked basmati rice, oil, asafoetida (heeng), mustard seeds (sarson), curry leaves (kadhi patta), whole red chilli (sabut laal mirch), turmeric powder(haldi), salt, lemon juice, peanuts, urad dal, chana dal, ginger",Veg, ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,560,70.07520894,96.54568807,Asthma,Non-Veg,weight loss
221,kale channe ki biryani,rice,"black gram (kala chana), basmati rice (soaked for 2 hours), cinnamon, green cardamoms, cloves, ghee, black cardamoms, black peppercorns, bay leaves, onions, green chillies (slit), ginger-garlic paste, coriander powder, turmeric powder, yogurt, fresh mint leaves, fresh coriander leaves, garam masala powder, red chilli powder, salt, cashew nuts, almonds, milk, fresh cream, saffron, ginger, screw pine essence (kewra), browned onions, whole wheat flour dough",Veg, low_fat_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,260,78.6244002,96.64799735,Hypertension,Keto,weight gain
222,chicken paella,rice,"chicken, oil, salt and pepper, paprika powder, chilli flakes, garlic paste, onions, bell peppers, rice, vegetable stock, saffron, peas, olives, parsley, white wine",Non-Veg, low_fat_diet low_carb_diet vegan_diet hormone_diet high_protien_diet type_a_diet,355,71.5777111,72.96229477,Asthma,Non-Veg,maintain body
223,thai fish curry,rice,"fish (cubed), thai green curry paste, oil, onions, garlic, ginger/galangal, coconut milk, coriander, lemon juice, palm sugar, basil leaves, salt & pepper",Non-Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,665,72.87860531,55.31744079,Hypertension,Keto,weight gain
224,vegetable pulao,rice,"water, basmati rice, ghee, paneer (cooked), carrot, beans, peas, elaichi, cardamoms, cinnamon, bay leaves, cumin seeds, chilli powder, turmeric, salt, coriander leaves",Veg, low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,220,64.58790161,54.60895984,Diabetes,Non-Veg,weight loss
225,oats &amp; shallots pulao,rice,"चावल, हरा धनिया, हरी मिर्च, प्याज , दालचीनी, इलाइची, लौंग , लाल मिर्च पाउडर, नमक, गार्लिक फलेक्स, अदरक , शैलेट, जैतून का तेल",Veg, high_protien_diet dash_diet gluten_free_diet,470,77.65207421,65.71697299,Hypertension,Keto,maintain body
226,shiitake fried rice with water chestnuts,rice,"शिटाके मशरूम , वेजिटेबल आॅयल, लहसुन की कलियां, हरी मिर्च, सिंघाड़े, प्याज, लीक्स, सेलेरी, अदरक, तिल का तेल, चावल पके हुए, सफेद मिर्च, नमक, राइस वाइन विनेगर, हरी प्याज, छोटा बंच पासर्ले, तिल का तेल",Veg, alkaline_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,545,60.62947413,81.49238861,Hypertension,Dairy-Free,weight loss
227,thai pineapple rice,rice,"चावल, प्याज, थाई अदरक, फ्रेश हल्दी, कढ़ीपत्ता, लेमनग्रास, नारियल मिल्क, नमक, हॉट करी पाउडर, पाइनएप्पल के टुकड़े, तेल, पानी, हल्दी पाउडर, ताजा पाइनएप्पल",Veg, high_protien_diet vegan_diet dash_diet ketogenic_diet,660,69.39474417,82.86071842,Hypertension,Gluten-Free,maintain body
228,prawn fried rice,rice,"तेल, बैकन, प्रॉन्स, चिकन, गाजर, लहसुन की कलियां, अदरक, स्प्रिंग अनियन, स्वीट चिली सॉस, सोय सॉस, नमक, कालीमिर्च, स्वीट कॉर्न, सिरका, पके हुए चावल, हरा धनिया",Veg, alkaline_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet,275,60.89997909,74.20148888,Diabetes,Veg,maintain body
229,lotus leaf wrapped fried rice,rice,"जैसमीन राइस (पके हुए ), एडमैम बीन्स, मॉक मीट, शिटाके मशरूम, स्प्रिंग अनियन, डार्क सोय सॉस, सूरजमुखी का तेल, नमक",Veg, alkaline_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet,585,64.67827079,63.93939502,Diabetes,Keto,weight gain
230,vegetable biryani,rice,"जीरा, प्याज, अदरक लहसुन, मिक्स वेजिटेबल, धनिया पाउडर, गरम मसाला, हल्दी पाउडर, नमक , लाल मिर्च पाउडर, हरी मिर्च, नींबू का रस, उबले हुए चावल, हरा धनिया",Veg, low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,670,61.64838752,76.59090661,None,Keto,weight gain
231,avial with red rice,rice,"रेड राइस, पानी, आलू, गाजर, कच्चा केला, ड्रमस्टिक, छोटा कच्चा आम, खट्टा दही, बीन स्टिक, प्याज, नमक , हल्दी, पानी, नारियल तेल, हरी मिर्च, सरसों के दाने (क्रश्ड)",Veg, alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,410,66.60860827,50.912088,Hypertension,Vegan,cure disease
232,red rice poha,rice,"प्याज, पैपर, बटन मशरूम, जंगली मशरूम, वाइट वाइन, टमाटर, सेज लीफ, रेड पोहा, ट्रफल ऑयल, रोजमेरी",Veg, alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,400,73.99048134,56.03571208,Diabetes,Non-Veg,cure disease
233,corn pulao,rice,"बासमती चावल, अमेरिकन कॉर्न के दाने, जैतून का तेल, प्याज, अदरक लहसुन का पेस्ट, नमक, हरी मिर्च, जीरा, तेजपत्ता, कालीमिर्च, लौंग, गर्म पानी, हरा धनिया, नींबू का रस, शिमला मिर्च , नारियल",Veg, high_protien_diet low_fat_diet gluten_free_diet,410,67.38247417,94.97924609,None,Veg,maintain body
234,rice in lamb stock,rice,"चावल, देसी घी, बड़ी इलाइची, तेजपत्ता, दालचीनी स्टिक, सौंफ, प्याज, लैंब बोनज़, शाही जीरा, काजू, क्रीम, हरी इलाइची पाउडर, नमक, पानी",Non-Veg, low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet,660,59.53527744,98.77647334,Asthma,Non-Veg,cure disease
235,steam bunny chicken bao,bread,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",Non-Veg, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,645,70.19767071,67.51322055,Hypertension,Non-Veg,weight loss
236,christmas tree pizza,bread,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",Veg, vegan_diet high_fiber_diet,600,62.70687327,93.5843941,Asthma,Keto,maintain body
237,vegetable bruschetta,bread,"baguette (grilled slices), black olive tapenade, artichoke hearts, lettuce arugula (trummed), tomato confit, fresh basil leaves, mint leaves, zucchini, goat cheese, parmesan cheese shavings, mozzarella buffalo cheese",Veg, low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,595,78.31126791,73.01960721,Hypertension,Keto,weight loss
238,spinach and feta crepes,bread,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",Veg, dash_diet high_fiber_diet type_a_diet ketogenic_diet,465,70.86139953,74.30940683,None,Low carbs,weight gain
239,red wine braised mushroom flatbread,wine,"olive oil, fresh buffalo mozzarella cheese, canned pelati tomatoes (cooked), pizza/flatbread base, mushrooms, red wine, parsley, garlic cloves (halved), salt",Veg, alkaline_diet dash_diet low_fat_diet,580,68.55260563,72.36893851,Diabetes,Dairy-Free,maintain body
240,strawberry &amp; pistachio breton tart,bread,"plain flour, baking powder, sea salt, unsalted butter, egg yoks, castor sugar, double cream, yolk, sugar, gelatine, butter, pistachio paste, strawberry",Veg, high_protien_diet low_fat_diet,620,61.47641457,65.64835912,Asthma,Keto,weight gain
241,tricolour pizza,bread,"pizza base , pizza sauce, mozzarella cheese, black olive, green capsicum, carrots, olive oil",Veg, vegan_diet,380,65.35083319,70.02812475,Asthma,Gluten-Free,cure disease
242,instant rava dosa,bread,"rava/suji/semolina, rice flour, all purpose flour, fresh coconut (pieces), jeera, green chilli, dhaniya, onion (diced), salt, water, oil, ghee/clarified butter",Veg, vegan_diet low_fat_diet high_fiber_diet,370,63.21358453,99.57097479,None,Gluten-Free,weight gain
243,easy bread poha,bread,"oil, hing, mustard seeds, curry leaves, whole red chillies, cookes peas, peanuts, turmeric powder, salt, bread, green chillies, lemon juice, coriander leaves, dessicated coconut",Veg, low_fat_diet Mediterranean_diet ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,570,67.24527543,79.42322502,Hypertension,Keto,maintain body
244,bread chana basket,bread,"bread (white/brown), butter, for chana chaat:, chana, onion, tomatoes, cumin seeds, ginger garlic paste, chilli powder, chana masala, turmeric powder , oil, salt",Veg, dash_diet Mediterranean_diet,600,64.07148744,64.14038131,Diabetes,Vegan,weight loss
245,spaghetti with clams &amp; crispy bread crumbs,bread,"panko, 1/4 cup plus 1 tablespoon extra-virgin olive oil, plus more for drizzling, kosher salt, freshly ground pepper,  garlic cloves,  manila clams or cockles, scrubbed, dry white wine,  spaghetti,  lemon zest,  lemon juice,  mullet bottarga (optional; see note),   red pepper,  thyme,  rosemary,  parsley",Veg, low_fat_diet Mediterranean_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet,540,66.15384102,83.99800271,None,Veg,cure disease
246,kasha bread,bread,"kasha, boiling water, buckwheat flour, all-purpose gluten free flour, brown sugar, baking powder, baking soda, xanthum gum, salt, buttermilk, cream, egg, oil, walnuts",Veg, low_fat_diet Mediterranean_diet ketogenic_diet vegan_diet dash_diet,525,65.41301862,91.29178949,Hypertension,Keto,cure disease
247,egg paratha,bread,"whole wheat flour, salt, oil, eggs, onions, green chilli, coriander leaves, garam masala",Non-Veg, low_sodium_diet high_protien_diet low_fat_diet ketogenic_diet,375,69.9984161,73.65314291,None,Veg,maintain body
248,egg and cheddar cheese sandwich,bread,"egg, salt, pepper, ham slices, basil leaves",Non-Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet,585,64.76402988,85.60339466,None,Keto,cure disease
249,egg in a blanket,bread,"eggs, brown bread slices, butter, chilli flakes, oregano, salt",Non-Veg, low_sodium_diet high_protien_diet low_fat_diet ketogenic_diet,235,63.33627543,50.75820115,Asthma,Dairy-Free,weight gain
250,bread dahi vada,bread,"bread slices, curd, oil, salt and black pepper , red chilli powder, aamchoor powder, mint leaves, zeera powder, anardana",Veg, dash_diet Mediterranean_diet,450,65.69633488,91.74515756,Hypertension,Non-Veg,weight gain
251,cheese and avocado parantha,bread,"गेंहू का आटा, कसूरी मेथी, पानी, जैतून का तेल, एवोकाडो, मॉजरेला चीज, पिज्जा सिजनिंग, घी , नमक",Veg, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,235,75.17299953,80.94911702,Hypertension,Veg,maintain body
252,bread with tomatoes and olives,bread,"फ्रेंच ब्रेड लोफ, टोमैटो, एक्स्ट्रा वर्जिन ऑलिव ऑयल, नमक, कालीमिर्च, पासर्ले , स्टफ्ड ग्रीन ऑलिव",Veg, Mediterranean_diet ketogenic_diet high_fiber_diet high_protien_diet dash_diet,435,60.52349508,95.71842135,Hypertension,Gluten-Free,maintain body
253,beetroot modak,modak,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",Veg, vegan_diet low_fat_diet ketogenic_diet,485,69.5661452,51.09376408,None,Gluten-Free,maintain body
254,active charcoal modak,modak,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)",Veg, vegan_diet low_fat_diet ketogenic_diet hormone_diet,375,61.714195,51.94377218,Hypertension,Non-Veg,weight loss
255,flax seed and beetroot modak,modak,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder",Veg, high_protien_diet vegan_diet high_fiber_diet,315,73.28138161,85.77286525,Asthma,Non-Veg,weight loss
256,lemon poppy seed cake,cake,"plain flour, baking powder, salt, castor sugar, baking soda, eggs, butter, vanilla essence, lemon juice, poppy seed, lemon peel, to serve:, lemon syrup, whip cream, fresh berry",Veg, high_protien_diet low_fat_diet high_fiber_diet ketogenic_diet,380,66.38409362,69.4235381,Diabetes,Vegan,weight gain
257,chocolate prunes gujiyas,chocolate,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom",Veg, high_protien_diet high_fiber_diet ketogenic_diet,475,65.95763055,74.72139721,Diabetes,Dairy-Free,cure disease
258,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",Veg, low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet,255,62.2681063,57.86000159,Diabetes,Dairy-Free,weight loss
259,gajar halwa tart,halwa,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder",Veg, low_fat_diet,205,73.78341272,90.402447,None,Vegan,maintain body
260,christmas chocolate fudge cookies,cookie,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder",Veg, high_protien_diet high_fiber_diet ketogenic_diet,655,67.58841039,71.28153412,Asthma,Veg,weight loss
261,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",Veg, high_protien_diet,205,69.67745669,69.27968315,Hypertension,Vegan,weight gain
262,chocolate appo,chocolate,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",Veg, high_protien_diet high_fiber_diet ketogenic_diet,250,65.41219953,55.66804267,Asthma,Low carbs,maintain body
263,red rice vermicelli kheer,kheer,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",Veg, alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,340,62.14804213,93.52496957,Diabetes,Veg,maintain body
264,grilled almond barfi (sugar free),barfi,"khoya, sweetener (optional), almonds (crushed)",Veg, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,575,75.00329705,67.1933739,Hypertension,Non-Veg,cure disease
265,chocolate kaju katli,kaju,"cashew nuts, sugar, water, milk chocolate or dark chocolate",Veg, high_fiber_diet ketogenic_diet,665,72.77532138,52.78766915,None,Dairy-Free,cure disease
266,chocolate samosa,samosa,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",Veg, high_protien_diet high_fiber_diet ketogenic_diet,330,74.24185047,51.9999847,Asthma,Gluten-Free,weight gain
267,mix fruit laccha rabri tortilla crunch,rabri,"milk, sugar, cardamom powder, saffron, almonds and pistachios, grapes, apple, kiwi, orange, pomegranate, mint leaves, tortilla sheet, oil",Veg, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet,225,64.65356079,87.48541905,None,Non-Veg,maintain body
268,apple rabdi,rabdi,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",Veg, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,495,76.91434331,72.05410897,Hypertension,Non-Veg,cure disease
269,dates and nuts ladoo,ladoo,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",Veg, alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet,400,59.96419488,55.62664018,Hypertension,Vegan,weight loss
270,green lentil dessert fudge,dessert,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,265,68.75698713,58.26463891,None,Veg,weight loss
271,pista chocolate &amp; mandarin,chocolate,"पिस्ता, दूध, चीनी, टूटे हुए चावल, हरी इलाइची, वाइट चॉकलेट, दूध, अंडे का पीला भाग, विप्ड क्रीम, वनीला पॉड, मैन्डरिन , चीनी, पानी",Veg, high_protien_diet high_fiber_diet ketogenic_diet,370,66.04200898,86.37210886,Diabetes,Vegan,weight gain
272,banana and maple ice lollies,banana,"केले, ग्रीक योगर्ट, हैवी क्रीम, प्योर मैपल सिरप , नारियल",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet,485,67.01133516,76.02141888,Hypertension,Gluten-Free,maintain body
273,banana and chia tea cake,cake,"बनाना, कैस्टर शुगर, मैदा, तेल, दूध, अंडे, बेकिंग सोडा, अलसी के बीज, बादाम फलेक्स, चिया सीड्स",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet,290,64.41983256,73.4335544,Hypertension,Vegan,weight gain
274,chocolate and almond rum ball h,almond,"चॉकलेट स्पॉज एगलेस, डार्क चॉकलेट, सिंगल क्रीम, बादाम, कैस्टर शुगर, इंस्टेंट कॉफी पाउडर, डार्क रम",Veg, high_protien_diet high_fiber_diet ketogenic_diet gluten_free_diet,255,63.62904437,64.16494467,Diabetes,Non-Veg,weight gain
275,cashew nut cookies,cookie,"काजू पेस्ट, घी, खांड, फलैक्स या चिया सीडस, बेकिंग सोडा, बेकिंग पाउडर, वनीला, ओट्स, मैदा आर्गेनिक",Veg, high_protien_diet vegan_diet dash_diet ketogenic_diet,645,67.05987894,83.87969545,Asthma,Dairy-Free,weight loss
276,lemon sushi cake,cake,"वनीला प्री मिक्स, जेल, तेल, पानी, अंडे का पीला भाग, नींबू का रस, चीनी, मक्खन, वाइट चॉकलेट, कुकिंग क्रीम, दूध",Veg, alkaline_diet low_fat_diet high_fiber_diet ketogenic_diet,200,77.14925024,52.79286049,Asthma,Veg,weight loss
277,chocolate doughnut,chocolate,"चीनी, अंडे का पीला भाग, अंडा, मक्खन, यीस्ट, दूध",Veg, high_protien_diet high_fiber_diet ketogenic_diet,585,64.17710169,86.05235277,Diabetes,Keto,maintain body
278,spiced almond banana jaggery cake,cake,"मक्खन, दालचीनी गुड़ पाउडर, जायफल (पीसा हुआ), बादाम, चीनी, अंडे, संतरे का छिलका , केला, मैदा, बेकिंग सोडा, बेकिंग पाउडर, नमक, छाछ, पीसी हुई दालचीनी",Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet gluten_free_diet,545,78.27931457,53.02611151,Diabetes,Veg,weight gain
279,fennel scented sweet banana fritters,banana,"गेंहू का आटा, केला, गुड़ , दूध या पानी, घी या तेल",Veg, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet,650,72.86068858,80.99736208,Diabetes,Non-Veg,cure disease
280,camel milk cake tart,cake,"कैमल मिल्क, चीनी, सिरका, मक्खन, ब्राउन शुगर, मैदा, अंडे",Veg, low_fat_diet ketogenic_diet high_fiber_diet high_protien_diet dash_diet,580,71.83347039,76.18675018,Asthma,Dairy-Free,weight loss
281,quinoa coconut crumble custard,coconut,"क्निोआ (पका हुआ), ओट्स, दालचीनी पाउडर, नमक, ब्राउन शुगर या गुड़, नट्स, कोकोनट्स फलेक्स, अंडे, क्निोआ, नारियल दूध, मैपल सिरप, वनीला एक्ट्रैक्ट, दालचीनी पाउडर, नमक, शहद",Veg, paleo_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet,375,67.0143089,68.73083095,Asthma,Low carbs,weight gain
282,andhra pan fried pomfret,curry,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander",Veg, alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet,320,62.21458677,57.43010716,Hypertension,Keto,weight loss
283,andhra crab meat masala,crab,"processed crab meat, refined oil, curry leaves, garlic, green chilli, onion, ginger-garlic paste, coriander, coriander powder, cumin powder, turmeric powder, garam masala powder, kashmiri chilli powder, salt, lemon, chop masala, tomato",Non-Veg, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,200,62.66484843,89.06897494,Asthma,Dairy-Free,maintain body
284,malabari fish curry,curry,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots",Non-Veg, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,665,71.00783748,73.0921757,Hypertension,Vegan,maintain body
285,ghee roast chicken dosa quesadilla,dosa,"dry red chillies, coriander seeds, cumin seeds, fenugreek seeds, black pepper, clove, garlic, turmeric powder, boneless chicken, curd, lemon (juiced), for cooking chicken:, tamarind pulp, ginger (1 inch), garlic cloves, onion, tomato, ghee, red chilli powder, salt, crushed jaggery, dosa batter (for 4 dosas), processed cheese, ghee or oil (to crisp the dosa), coriander leaves, curry leaves (deep fried), curd, salt, zeera powder, sugar, red chilli powder",Non-Veg, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,385,73.64923394,56.38242644,None,Keto,cure disease
286,chicken minced salad,salad,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts",Non-Veg, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,500,65.35464681,97.98577703,Asthma,Veg,weight loss
287,steam bunny chicken bao,bao,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",Non-Veg, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,680,70.00227717,95.22441214,Diabetes,Gluten-Free,cure disease
288,lamb barley pot,barley,"pot barley, onions, worcestershire sauce, chilli flakes, mustard seeds, thick mutton chunks, thick neck of lamb chops, water or stock (to cover), salt, black pepper (freshly ground)",Non-Veg, vegan_diet low_fat_diet high_fiber_diet,355,67.92134591,51.35230139,None,Non-Veg,weight loss
289,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",Veg, low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet,550,74.66980654,77.17376469,None,Veg,maintain body
290,al hachi chicken,chicken,"shallow fried chicken, bottle gourd (boiled and sun dried), onion, garlic, whole spices:, green cardamom, black cardamom, cinnamon sticks, turmeric, deggi mirch, fennel seeds powder, dry ginger powder, coriander powder, salt, mustard oil, desi ghee",Non-Veg, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,360,65.96873768,94.69131278,None,Dairy-Free,maintain body
